STN,COAST_KM,IS_COASTAL,SEA_FRAC_18,SEA_FRAC_50,LOG_COAST
90,2.392583018592276e-11,1,0.5161290322580645,0.49593054801953335,2.3925830185636537e-11
93,78.48270147201904,0,0.0,0.0,4.37553940643688
95,67.41998242757855,0,0.0,0.0,4.225664922717776
98,35.084885884402645,0,0.0,0.008695652173913044,3.5858741041083353
99,12.474011984890161,0,0.016194331983805668,0.07173913043478261,2.600762792020792
100,22.048756872385123,0,0.0,0.2217391304347826,3.137611836204561
101,81.54902579785464,0,0.0,0.0,4.413392368937986
102,2.2200000000090228,1,0.8704453441295547,0.8337859858772406,1.169381359559119
104,4.1515017516260055,1,0.39271255060728744,0.4608695652173913,1.6392882744254467
105,5.660199285572296,1,0.3441295546558704,0.45543478260869563,1.8961494068632239
106,1.7610771683218214,1,0.4777327935222672,0.4994565217391304,1.0156208819677337
108,18.813829815706775,0,0.0,0.09619565217391304,2.9863801694207237
112,2.2200000000090228,1,0.48582995951417,0.42445652173913045,1.169381359559119
114,95.65255733962343,0,0.0,0.0,4.571122665103804
115,1.7616856391662565,1,0.9109311740890689,0.9880434782608696,1.015841232132355
119,14.308859770516396,0,0.016194331983805668,0.16267682263329705,2.728431730770464
121,69.84360601287962,0,0.0,0.0,4.260474715245282
127,85.16460251297384,0,0.0,0.0,4.4562594496314345
129,7.550040565797691,1,0.1522633744855967,0.46994535519125685,2.1459360274751553
130,1.773162955228262,1,0.5245901639344263,0.5425299890948746,1.0199885298649505
131,51.425570785382,0,0.0,0.0,3.9593944643850225
133,70.86502148581228,0,0.0,0.0,4.274789657977787
135,120.44505287090708,0,0.0,0.0,4.799461920743747
136,64.18367834231876,0,0.0,0.0,4.1772091054212535
137,110.42453917782294,0,0.0,0.0,4.713347583107872
138,1.7952884352439133,1,0.23140495867768596,0.414607358594179,1.027935298149864
140,7.183588059725798,1,0.15289256198347106,0.2833607907742998,2.1021306925493715
143,68.34547647832535,0,0.0,0.0,4.239100917212032
146,27.803938268873413,0,0.0,0.015934065934065933,3.3605121232400874
152,7.575925698397972,1,0.1859504132231405,0.4086908690869087,2.148958940391424
155,2.477841123568122e-11,1,0.23553719008264462,0.24394273127753305,2.4778411235374235e-11
156,40.89831627098735,0,0.0,0.00881057268722467,3.735245641657366
159,1.816188099377861,1,0.49586776859504134,0.5627753303964758,1.0353842327190688
162,1.8219465184872197,1,0.5809128630705395,0.6112334801762115,1.0374269016164592
165,1.2547671324655829e-11,1,0.4896265560165975,0.4262114537444934,1.2547671324577106e-11
168,1.824292703605261,1,0.5103734439834025,0.5308370044052864,1.0382579628452846
169,1.8254422817855414,1,0.966804979253112,0.9895374449339207,1.0386649122682639
170,1.2581034669917696e-11,1,0.42323651452282157,0.5988980716253444,1.2581034669838555e-11
172,16.99109686229278,0,0.004132231404958678,0.29058888277380296,2.889877016770442
174,20.711074625478997,0,0.0,0.12940528634361234,3.077822481765989
177,16.181321435269272,0,0.0,0.2343921139101862,2.8438228306685316
181,47.1903647649802,0,0.0,0.0016429353778751369,3.875159099932169
184,2.2200000000090228,1,0.4979253112033195,0.7523598001110494,1.169381359559119
185,1.2666961235473124e-11,1,0.7095435684647303,0.8438888888888889,1.2666961235392899e-11
188,1.8536443909780653,1,0.5518672199170125,0.8177777777777778,1.0485969110734759
189,2.2199999999916713,1,0.49583333333333335,0.7447163515016685,1.1693813595537303
192,11.09999999999306,0,0.024793388429752067,0.15748898678414097,2.4932054526021217
201,5.71760503923151,1,0.38866396761133604,0.3864130434782609,1.9047316980404885
202,68.71461367648486,0,0.0,0.0,4.244409961162575
203,49.76751805710905,0,0.0,0.000544069640914037,3.9272567417511275
211,39.86097862673882,0,0.0,0.030418250950570342,3.7101755398304843
212,81.96276798128672,0,0.0,0.0,4.418391928616432
216,30.475653605717973,0,0.0,0.13873775843307942,3.4492143455835236
217,42.703758196131595,0,0.0,0.021739130434782608,3.777434098315242
221,91.31822977680243,0,0.0,0.0,4.525241627714624
226,83.5626100457454,0,0.0,0.0,4.437492207284134
232,33.54344510210453,0,0.0,0.014207650273224045,3.5422178101332573
235,2.8508349845491168,1,0.38271604938271603,0.4317059791552386,1.3482900038884866
236,33.46574886312059,0,0.0,0.08228195282501372,3.5399660443220915
238,63.21541919758325,0,0.0,0.0,4.162243356275842
239,51.94861706048999,0,0.0,0.0,3.969321953868567
243,6.899519199528718,1,0.24380165289256198,0.319956019791094,2.0668018968017314
244,51.82129080327987,0,0.0,0.0,3.9669143443454713
245,16.253193743126687,0,0.0,0.13366336633663367,2.847997270869319
247,56.2676165483695,0,0.0,0.0,4.047735307735801
248,68.05674469632886,0,0.0,0.0,4.2349285535257515
252,10.87314735869276,0,0.1446280991735537,0.3995597138139791,2.4742793258500257
253,9.847337690254085,1,0.0371900826446281,0.3368189323059989,2.383919675707171
254,48.78880857488023,0,0.0,0.0,3.907790231363575
