채널,TA,HM,TA개선,HM개선,종합개선
IR087,1.3113772005786868,6.297042278492894,0.1169054859734886,0.813428581588659,0.4651670337810738
IR096,1.3175973434468071,6.4455116483463355,0.11068534310536826,0.6649592117352174,0.38782227742029285
IR105,1.3136247527527878,6.303162698771619,0.1146579337993876,0.8073081613099342,0.4609830475546609
IR112,1.3306868577405926,6.348863511002852,0.0975958288115828,0.7616073490787008,0.4296015889451418
IR123,1.3470146661855706,6.498011689288703,0.08126802036660474,0.6124591707928495,0.3468635955797271
IR133,1.381617638425804,6.7724594179817155,0.04666504812637129,0.33801144209983747,0.19233824511310438
NR013,1.395473358960673,6.963877154432154,0.03280932759150246,0.14659370564939866,0.08970151662045056
NR016,1.379116573896948,6.569748572656442,0.04916611265522741,0.540722287425111,0.2949442000401692
SW038,1.353097725724927,6.512881134056755,0.07518496082724835,0.5975897260247978,0.33638734342602306
WV063,1.4319286979234922,7.001012408635644,-0.003646011371316815,0.10945845144590916,0.05290622003729617
WV069,1.4426075914664909,6.9859172085633086,-0.014324904914315484,0.12455365151824438,0.05511437330196445
WV073,1.4446520879662386,6.908822322372153,-0.01636940141406318,0.20164853770940017,0.0926395681476685
